wbe;jahr;empfte_w
011;2011;678
011;2012;689
011;2013;688
011;2014;723
011;2015;763
012;2011;3435
012;2012;3378
012;2013;3424
012;2014;3566
012;2015;3269
013;2011;343
013;2012;321
013;2013;347
013;2014;372
013;2015;385
014;2011;843
014;2012;832
014;2013;892
014;2014;874
014;2015;902
021;2011;4097
021;2012;3732
021;2013;4182
021;2014;4228
021;2015;4128
022;2011;208
022;2012;202
022;2013;258
022;2014;242
022;2015;213
023;2011;1475
023;2012;1477
023;2013;1477
023;2014;1434
023;2015;1253
024;2011;3413
024;2012;3372
024;2013;3428
024;2014;3452
024;2015;3608
025;2011;965
025;2012;994
025;2013;974
025;2014;980
025;2015;951
026;2011;104
026;2012;121
026;2013;125
026;2014;117
026;2015;122
031;2011;1603
031;2012;1610
031;2013;1589
031;2014;1610
031;2015;1644
032;2011;1050
032;2012;985
032;2013;1003
032;2014;874
032;2015;951
033;2011;1454
033;2012;1464
033;2013;1545
033;2014;1560
033;2015;1573
034;2011;617
034;2012;626
034;2013;688
034;2014;701
034;2015;726
041;2011;250
041;2012;249
041;2013;241
041;2014;247
041;2015;273
042;2011;139
042;2012;128
042;2013;128
042;2014;121
042;2015;123
051;2011;664
051;2012;641
051;2013;635
051;2014;631
051;2015;622
052;2011;2454
052;2012;2477
052;2013;2384
052;2014;2403
052;2015;2428
053;2011;2296
053;2012;2409
053;2013;2393
053;2014;2297
053;2015;2407
054;2011;728
054;2012;721
054;2013;743
054;2014;836
054;2015;812
055;2011;2015
055;2012;2088
055;2013;2240
055;2014;2403
055;2015;2509
061;2011;1886
061;2012;1944
061;2013;1971
061;2014;1970
061;2015;1822
062;2011;1954
062;2012;1890
062;2013;1951
062;2014;1978
062;2015;1921
063;2011;319
063;2012;316
063;2013;266
063;2014;283
063;2015;289
071;2011;249
071;2012;258
071;2013;266
071;2014;281
071;2015;280
072;2011;297
072;2012;284
072;2013;310
072;2014;300
072;2015;319
073;2011;26
073;2012;27
073;2013;30
073;2014;30
073;2015;31
081;2011;574
081;2012;572
081;2013;602
081;2014;573
081;2015;586
082;2011;81
082;2012;72
082;2013;75
082;2014;71
082;2015;76
083;2011;255
083;2012;261
083;2013;251
083;2014;241
083;2015;368
084;2011;76
084;2012;70
084;2013;73
084;2014;70
084;2015;66
085;2011;209
085;2012;220
085;2013;239
085;2014;220
085;2015;228
091;2011;933
091;2012;860
091;2013;890
091;2014;894
091;2015;878
092;2011;116
092;2012;126
092;2013;122
092;2014;100
092;2015;92
101;2011;313
101;2012;331
101;2013;318
101;2014;392
101;2015;373
102;2011;667
102;2012;587
102;2013;620
102;2014;565
102;2015;549
103;2011;136
103;2012;128
103;2013;136
103;2014;149
103;2015;158
111;2011;312
111;2012;311
111;2013;306
111;2014;303
111;2015;302
112;2011;153
112;2012;156
112;2013;154
112;2014;147
112;2015;159
113;2011;300
113;2012;319
113;2013;341
113;2014;347
113;2015;356
114;2011;3397
114;2012;3330
114;2013;3556
114;2014;3657
114;2015;3558
115;2011;1380
115;2012;1477
115;2013;1502
115;2014;1578
115;2015;1625
119;2011;949
119;2012;960
119;2013;925
119;2014;910
119;2015;907
121;2011;1539
121;2012;1552
121;2013;1559
121;2014;1546
121;2015;1553
122;2011;688
122;2012;644
122;2013;587
122;2014;568
122;2015;602
131;2011;581
131;2012;582
131;2013;631
131;2014;619
131;2015;571
132;2011;623
132;2012;634
132;2013;668
132;2014;677
132;2015;730
141;2011;489
141;2012;439
141;2013;444
141;2014;455
141;2015;471
142;2011;3136
142;2012;3479
142;2013;3457
142;2014;3755
142;2015;4042
151;2011;301
151;2012;285
151;2013;303
151;2014;295
151;2015;282
152;2011;736
152;2012;747
152;2013;798
152;2014;846
152;2015;828
153;2011;274
153;2012;275
153;2013;251
153;2014;237
153;2015;267
160;2011;4
161;2011;1869
161;2012;1853
161;2013;2005
161;2014;1917
161;2015;1824
162;2011;142
162;2012;199
162;2013;271
162;2014;258
162;2015;266
171;2011;201
171;2012;212
171;2013;213
171;2014;197
171;2015;202
172;2011;233
172;2012;223
172;2013;210
172;2014;223
172;2015;230
173;2011;138
173;2012;139
173;2013;137
173;2014;138
173;2015;149
174;2011;590
174;2012;582
174;2013;647
174;2014;503
174;2015;543
180;2011;2099
180;2012;2128
180;2013;2112
180;2014;2104
180;2015;2052
190;2011;1688
190;2012;1698
190;2013;1875
190;2014;1936
190;2015;2058
201;2011;718
201;2012;740
201;2013;751
201;2014;752
201;2015;802
202;2011;113
202;2012;111
202;2013;123
202;2014;131
202;2015;155
203;2011;89
203;2012;94
203;2013;87
203;2014;88
203;2015;83
204;2011;154
204;2012;163
204;2013;166
204;2014;174
204;2015;188
205;2011;47
205;2012;46
205;2013;54
205;2014;40
205;2015;39
206;2011;58
206;2012;52
206;2013;50
206;2014;60
206;2015;57
207;2011;266
207;2012;263
207;2013;298
207;2014;282
207;2015;277
208;2011;91
208;2012;89
208;2013;87
208;2014;110
208;2015;106
301;2011;36
301;2012;43
301;2013;48
301;2014;47
301;2015;47
302;2011;140
302;2012;145
302;2013;141
302;2014;149
302;2015;156
